"","L","Z","A","Y"
"2344",0,16,12,10500
"2345",1,28,10,0
"2346",0,9,8,0
"2347",1,39,13,14000
"2348",1,37,12,2330
"2349",0,13,12,0
"2350",1,39,12,7340
"2351",1,37,10,1300
"2352",0,37,12,2012
"2353",0,1,8,0
"2354",1,15,12,0
"2355",0,2,12,0
"2356",1,17,11,5280
"2357",1,0,12,190
"2358",1,1,8,8
"2359",1,13,12,14000
"2360",0,17,14,5000
"2361",1,9,12,1600
"2362",0,19,12,0
"2363",0,15,17,320
"2364",1,9,13,129
"2365",0,17,12,0
"2366",1,13,10,5000
"2367",1,9,8,9000
"2368",1,9,14,3500
"2369",1,39,11,10000
"2370",0,19,12,0
"2371",0,17,12,0
"2372",0,15,10,0
"2373",0,13,12,299
"2374",1,13,14,16700
"2375",1,2,10,0
"2376",0,13,14,7000
"2377",0,2,12,9870
"2378",0,17,10,4000
"2379",0,9,12,0
"2380",1,13,12,14000
"2381",1,39,11,20000
"2382",1,9,12,2900
"2383",0,17,12,3000
"2384",0,1,11,4692
"2385",1,16,13,1000
"2386",0,39,8,2500
"2387",0,17,12,3500
"2388",1,19,8,0
"2389",0,37,11,300
"2390",0,13,12,8000
"2391",1,19,8,5000
"2392",0,1,12,870
"2393",0,16,12,0
"2394",0,17,9,0
"2395",0,39,12,3640
"2396",0,13,12,0
"2397",0,1,11,3200
"2398",0,13,12,0
"2399",0,13,10,1200
"2400",0,13,12,7192
"2401",0,16,12,4500
"2402",0,13,10,0
"2403",1,17,9,4300
"2404",0,13,12,4500
"2405",0,17,8,350
"2406",1,19,16,3000
"2407",1,15,15,130
"2408",0,13,11,3033
"2409",1,9,11,0
"2410",1,19,8,0
"2411",0,19,15,0
"2412",1,13,16,8000
"2413",0,9,12,0
"2414",0,13,11,5000
"2415",0,39,12,900
"2416",1,13,13,0
"2417",0,13,13,84
"2418",0,1,13,3967
"2419",1,16,10,1211
"2420",0,15,13,0
"2421",0,1,10,6400
"2422",1,13,10,7150
"2423",0,17,11,8645
"2424",0,15,12,2000
"2425",0,13,12,80
"2426",1,2,10,7000
"2427",1,5,12,6000
"2428",1,37,12,1314
"2429",0,9,8,0
"2430",0,37,9,0
"2431",1,39,12,6300
"2432",0,28,10,1058
"2433",1,15,14,1000
"2434",1,16,12,0
"2435",1,0,9,1564
"2436",0,39,12,1651
"2437",0,9,10,390
"2438",0,1,12,4000
"2439",1,19,12,4600
"2440",1,19,12,3060
"2441",0,15,12,0
"2442",0,1,8,400
"2443",0,9,9,2580
"2444",1,16,12,7000
"2445",0,16,10,4700
"2446",0,0,12,0
"2447",0,9,12,0
"2448",0,17,12,0
"2449",0,17,12,6802
"2450",0,19,12,5000
"2451",0,2,12,516
"2452",0,17,14,0
"2453",1,13,18,1400
"2454",0,16,12,5161
"2455",1,37,12,1800
"2456",0,37,13,600
"2457",0,1,9,62
"2458",0,17,12,5000
"2459",0,19,10,800
"2460",0,19,8,2400
"2461",0,19,12,3000
"2462",1,13,12,0
"2463",0,16,10,1942
"2464",0,9,9,5385
"2465",0,19,14,9000
"2466",0,17,12,0
"2467",1,13,15,3000
"2468",0,13,13,200
"2469",0,9,11,1729
"2470",1,15,12,9000
"2471",0,17,12,2927
"2472",1,9,8,6000
"2473",1,39,14,10307
"2474",0,19,8,104
"2475",0,19,8,0
"2476",1,13,12,16800
"2477",1,13,12,0
"2478",1,13,11,800
"2479",1,13,15,8280
"2480",0,13,9,300
"2481",0,2,12,3200
"2482",1,39,8,77
"2483",0,13,9,3342
"2484",0,1,12,3000
"2485",1,17,16,2500
"2486",0,13,16,500
"2487",0,13,10,0
"2488",0,16,12,7800
"2489",0,13,12,0
"2490",1,39,12,3000
"2491",1,13,8,9000
"2492",0,17,12,0
"2493",1,15,12,5800
"2494",0,16,16,1024
"2495",0,1,9,5022
"2496",1,39,12,600
"2497",0,16,12,800
"2498",1,39,12,1100
"2499",0,28,12,300
"2500",1,15,14,80
"2501",1,13,9,125
"2502",0,346,12,5500
"2503",0,28,12,3000
"2504",0,15,8,3200
"2505",0,15,12,1000
"2506",1,15,12,13000
"2507",1,1,9,20000
"2508",0,28,10,0
"2509",1,13,8,864
"2510",1,1,14,10500
"2511",0,1,8,0
"2512",1,13,10,0
"2513",1,13,10,6390
"2514",1,15,12,6000
"2515",0,17,9,0
"2516",1,0,12,1200
"2517",1,13,12,7000
"2518",1,13,12,4000
"2519",0,1,10,0
"2520",1,19,12,1500
"2521",1,13,10,13000
"2522",0,13,10,0
"2523",0,19,8,0
"2524",0,13,15,800
"2525",0,15,10,0
"2526",1,13,12,8000
"2527",0,17,11,0
"2528",0,2,12,0
"2529",0,1,13,3000
"2530",0,1,9,6000
"2531",1,13,8,2500
"2532",1,39,14,895
"2533",0,1,11,0
"2534",0,1,8,0
"2535",1,13,13,2200
"2536",1,40,16,0
"2537",0,19,8,0
"2538",0,39,9,225
"2539",1,28,12,0
"2540",0,13,9,8000
"2541",1,39,12,0
"2542",1,2,10,1000
"2543",1,15,13,3000
"2544",0,1,8,0
"2545",1,28,12,6500
"2546",1,37,12,0
"2547",0,0,10,10000
"2548",1,13,12,0
"2549",0,15,12,0
"2550",0,9,12,3912
"2551",1,37,12,1760
"2552",0,9,13,0
"2553",0,9,10,2202
"2554",1,19,12,1000
"2555",0,9,10,2160
"2556",0,17,12,0
"2557",0,17,12,7600
"2558",0,16,12,297
"2559",1,39,11,4200
"2560",0,39,11,0
"2561",1,9,12,220
"2562",0,5,12,0
"2563",1,39,12,1000
"2564",0,1,12,425
"2565",0,0,12,3204
"2566",1,13,18,8500
"2567",1,16,8,5154
"2568",0,16,12,3000
"2569",1,15,12,2500
"2570",1,13,11,0
"2571",1,13,11,1500
"2572",1,19,11,3000
"2573",1,15,15,1600
"2574",1,1,8,900
"2575",1,19,7,0
"2576",0,28,10,0
"2577",1,17,15,2000
"2578",0,13,11,3000
"2579",0,17,8,0
"2580",0,9,11,6039
"2581",1,28,8,0
"2582",0,13,12,4600
"2583",0,40,11,500
"2584",1,16,12,4500
"2585",0,16,12,11000
"2586",0,40,13,8000
"2587",0,1,11,5000
"2588",1,39,12,12000
"2589",0,19,12,1500
"2590",1,2,10,0
"2591",0,9,12,0
"2592",1,2,12,2700
"2593",0,39,17,11699
"2594",1,19,10,0
"2595",0,19,16,0
"2596",0,9,8,5
"2597",1,13,12,0
"2598",1,39,12,2400
"2599",1,19,14,1900
"2600",0,9,10,0
"2601",0,17,12,0
"2602",0,13,11,0
"2603",1,2,13,5000
"2604",0,13,10,2426
"2605",0,16,11,0
"2606",0,16,14,2500
"2607",1,1,11,3000
"2608",0,13,13,400
"2609",0,13,11,11000
"2610",0,19,12,350
"2611",1,17,13,4800
"2612",0,0,13,4000
"2613",1,15,12,0
"2614",1,37,10,0
"2615",0,39,12,4186
"2616",1,0,12,1200
"2617",1,13,11,22000
"2618",0,17,11,0
"2619",1,15,17,1700
"2620",1,13,17,12381
"2621",0,13,15,18000
"2622",1,5,10,4400
"2623",0,13,10,0
"2624",0,17,11,570
"2625",1,13,12,6000
"2626",0,13,12,0
"2627",0,5,12,2095
"2628",1,17,14,0
"2629",0,39,12,0
"2630",0,16,10,1000
"2631",0,0,14,3600
"2632",0,17,12,0
"2633",1,16,10,0
"2634",1,16,13,0
"2635",0,37,12,0
"2636",1,16,11,700
"2637",1,0,9,2536
"2638",1,39,16,4200
"2639",0,13,12,7488
"2640",1,13,12,8000
"2641",1,13,9,999
"2642",0,19,10,0
"2643",1,13,8,6500
"2644",0,1,11,5400
"2645",0,17,12,5600
"2646",0,13,11,5044
"2647",0,19,8,2418
"2648",0,5,14,2868
"2649",0,19,10,0
"2650",0,19,13,0
"2651",0,16,10,3500
"2652",1,37,11,8700
"2653",0,17,12,6000
"2654",1,19,11,0
"2655",0,13,11,10000
"2656",1,15,12,500
"2657",0,39,12,6000
"2658",0,17,12,3200
"2659",0,40,11,0
"2660",1,9,14,1430
"2661",1,13,14,7000
"2662",0,19,12,0
"2663",1,13,15,900
"2664",1,1,8,3300
"2665",1,9,12,400
"2666",0,13,12,4000
"2667",1,19,9,1200
"2668",1,1,9,1300
"2669",0,1,12,0
"2670",0,17,16,0
"2671",1,13,16,14000
"2672",0,28,13,0
"2673",0,15,15,1472
"2674",1,5,13,14700
"2675",1,15,13,500
"2676",0,1,9,8000
"2677",0,5,12,2645
"2678",1,13,12,3000
"2679",0,0,12,8000
"2680",0,40,13,11980
"2681",1,19,12,0
"2682",1,16,10,465
"2683",1,39,12,8190
"2684",1,15,14,1200
"2685",0,9,12,200
"2686",0,15,11,0
"2687",0,16,10,800
"2688",1,9,8,0
"2689",0,37,12,1200
"2690",1,37,14,0
"2691",1,13,12,1200
"2692",0,9,12,0
"2693",1,13,10,1277
"2694",0,13,12,7050
"2695",1,13,11,2000
"2696",1,13,11,7000
"2697",0,39,12,8137
"2698",0,5,11,0
"2699",0,40,12,0
"2700",0,346,12,0
"2701",0,13,11,850
"2702",0,16,12,0
"2703",1,13,14,10400
"2704",1,15,12,90
"2705",0,1,11,4000
"2706",0,17,12,0
"2707",1,17,12,0
"2708",0,13,11,400
"2709",0,1,12,3000
"2710",1,16,12,1200
"2711",0,40,10,0
"2712",1,13,15,9323
"2713",1,17,10,300
"2714",0,16,12,6430
"2715",1,39,11,0
"2716",1,37,11,4000
"2717",1,39,11,11531
"2718",0,13,8,0
"2719",0,15,12,0
"2720",0,13,11,0
"2721",1,9,12,0
"2722",0,15,13,2000
"2723",1,2,10,5400
"2724",1,19,12,165
"2725",0,2,12,1375
"2726",0,17,12,0
"2727",1,19,14,0
"2728",1,39,13,1750
"2729",0,17,12,0
"2730",0,16,11,1109
"2731",0,13,12,300
"2732",1,1,9,12000
"2733",0,17,9,4232
"2734",1,1,12,500
"2735",0,0,16,4990
"2736",1,16,10,1000
"2737",1,13,10,0
"2738",1,2,12,2400
"2739",0,13,12,0
"2740",1,0,12,900
"2741",0,13,12,2600
"2742",1,17,10,750
"2743",0,1,12,0
"2744",1,40,12,5000
"2745",1,13,12,2800
"2746",1,9,13,8290
"2747",0,15,8,0
"2748",1,13,12,30000
"2749",0,13,12,1500
"2750",0,1,10,0
"2751",1,13,12,125
"2752",0,9,12,3216
"2753",0,13,12,4595
"2754",1,19,13,0
"2755",0,13,10,3600
"2756",1,1,11,600
"2757",1,17,13,3744
"2758",1,9,10,0
"2759",1,2,10,0
"2760",1,13,13,6900
"2761",0,39,12,1569
"2762",1,13,12,15000
"2763",0,19,9,0
"2764",1,1,10,0
"2765",0,13,12,0
"2766",0,39,10,3986
"2767",1,39,10,1400
"2768",0,1,10,25
"2769",1,13,12,500
"2770",0,9,12,0
"2771",0,9,11,0
"2772",0,9,12,31
"2773",0,13,12,5600
"2774",0,13,12,6000
"2775",0,17,12,0
"2776",1,19,13,4000
"2777",1,2,12,5400
"2778",0,0,12,60
"2779",0,9,12,1720
"2780",0,28,12,0
"2781",0,17,8,0
"2782",1,13,13,20000
"2783",0,9,12,421
"2784",0,13,8,0
"2785",1,16,16,13500
"2786",0,37,8,18000
"2787",1,16,12,11000
"2788",1,19,14,6000
"2789",0,15,11,425
"2790",0,17,11,300
"2791",0,16,16,400
"2792",0,13,12,98
"2793",0,39,12,4251
"2794",0,15,13,1200
"2795",1,39,12,2000
"2796",1,17,12,1200
"2797",0,1,12,250
"2798",1,16,12,120
"2799",0,17,12,2988
"2800",1,13,8,2200
"2801",0,39,13,4000
"2802",0,1,10,98
"2803",1,13,12,0
"2804",1,13,12,12000
"2805",1,1,12,7000
"2806",0,13,10,7848
"2807",0,13,10,3000
"2808",0,13,11,2500
"2809",1,15,14,3200
"2810",0,9,8,4163
"2811",0,13,14,1117
"2812",0,17,14,0
"2813",0,13,12,10027
"2814",1,28,13,1000
"2815",0,1,8,120
"2816",1,13,12,4697
"2817",1,17,11,7800
"2818",0,39,12,0
"2819",0,39,15,800
"2820",0,13,12,8000
"2821",1,0,12,8903
"2822",0,16,12,0
"2823",0,1,11,0
"2824",0,13,12,500
"2825",0,1,9,0
"2826",1,19,8,0
"2827",1,39,10,2200
"2828",0,19,10,13440
"2829",0,13,12,0
"2830",0,1,8,0
"2831",0,16,13,2250
"2832",0,1,16,3900
"2833",1,0,11,1750
"2834",0,2,11,5000
"2835",1,39,12,6000
"2836",1,13,15,1500
"2837",0,16,11,1684
"2838",1,9,12,7000
"2839",1,19,7,0
"2840",1,16,10,110
"2841",1,39,10,3538
"2842",0,1,11,0
"2843",0,16,13,229
"2844",1,13,12,5300
"2845",1,13,15,2666
"2846",1,19,12,10500
"2847",1,15,14,5000
"2848",0,17,13,0
"2849",1,19,10,0
"2850",0,17,12,0
"2851",0,9,8,0
"2852",1,13,10,850
"2853",0,39,12,5720
"2854",1,2,11,0
"2855",0,28,12,888
"2856",0,9,11,0
"2857",1,37,12,0
"2858",0,1,12,98
"2859",0,19,12,0
"2860",1,2,14,133
"2861",1,17,12,6000
"2862",1,39,9,0
"2863",1,13,12,0
"2864",1,15,15,600
"2865",0,13,11,7000
"2866",0,19,12,2800
"2867",0,17,14,0
"2868",0,13,10,135
"2869",1,28,16,7740
"2870",0,13,12,6000
"2871",1,13,12,6000
"2872",0,13,12,98
"2873",1,346,13,8000
"2874",1,13,14,5401
"2875",0,2,15,4800
"2876",1,19,13,5000
"2877",0,17,12,0
"2878",1,13,13,6888
"2879",1,13,9,6000
"2880",0,9,12,0
"2881",0,16,12,4593
"2882",1,13,11,0
"2883",0,39,12,1186
"2884",1,13,15,6000
"2885",0,1,9,2992
"2886",1,0,12,3500
"2887",1,13,12,500
"2888",1,19,10,3000
"2889",1,2,13,4000
"2890",1,13,11,3200
"2891",0,19,9,0
"2892",0,28,12,0
"2893",0,28,12,3460
"2894",0,16,12,4000
"2895",1,346,12,5000
"2896",1,15,11,200
"2897",0,19,10,0
"2898",1,19,9,6000
"2899",1,13,9,1100
"2900",0,9,10,0
"2901",0,9,12,0
"2902",0,9,10,4200
"2903",1,13,12,0
"2904",0,19,9,0
"2905",0,13,8,5000
"2906",1,16,12,1500
"2907",1,2,9,0
"2908",0,19,12,0
"2909",0,9,12,240
"2910",1,16,8,3629
"2911",0,17,12,128
"2912",1,1,12,7900
"2913",1,28,10,3000
"2914",0,13,9,4300
"2915",1,0,15,1500
"2916",1,19,11,3800
"2917",0,13,12,3000
"2918",0,346,12,0
"2919",1,19,16,360
"2920",0,0,12,2400
"2921",0,13,9,0
"2922",0,16,12,5720
"2923",1,13,15,1600
"2924",0,28,12,119
"2925",1,1,12,1500
"2926",1,2,8,3621
"2927",0,13,12,230
"2928",1,17,12,7900
"2929",1,2,12,2500
"2930",0,16,12,600
"2931",1,15,12,0
"2932",0,15,13,109
"2933",1,15,12,9000
"2934",0,13,13,0
"2935",1,9,13,5800
"2936",0,19,16,300
"2937",1,9,13,9812
"2938",1,1,13,17000
"2939",1,0,9,6220
"2940",1,13,16,1500
"2941",1,9,11,98
"2942",0,13,9,11705
"2943",0,40,12,10800
"2944",0,28,12,0
"2945",1,16,8,0
"2946",0,9,12,0
"2947",0,19,10,0
"2948",1,39,8,4410
"2949",1,39,10,2135
"2950",0,39,8,1624
"2951",1,13,9,4100
"2952",0,15,14,400
"2953",0,15,13,8040
"2954",0,1,13,6000
"2955",0,13,12,4000
"2956",1,37,14,7500
"2957",0,16,12,4500
"2958",1,19,8,0
"2959",0,39,10,1200
"2960",0,19,8,0
"2961",1,9,11,1000
"2962",1,5,11,17000
"2963",1,28,11,112
"2964",1,0,12,0
"2965",0,9,12,0
"2966",0,13,12,0
"2967",0,1,11,30
"2968",1,19,12,0
"2969",1,13,11,600
"2970",0,13,12,3850
"2971",0,17,12,1020
"2972",0,37,12,2000
"2973",0,1,12,0
"2974",0,1,10,1704
"2975",1,13,12,9000
"2976",0,13,11,600
"2977",1,19,9,5720
"2978",0,5,11,3360
"2979",0,17,12,0
"2980",0,1,8,600
"2981",1,13,13,800
"2982",0,40,9,0
"2983",0,19,10,3200
"2984",0,17,13,0
"2985",1,13,12,2000
"2986",0,1,12,300
"2987",0,19,12,7800
"2988",1,40,12,0
"2989",0,13,12,0
"2990",0,13,12,6000
"2991",1,9,9,0
"2992",0,9,10,0
"2993",0,19,12,170
"2994",1,1,9,0
"2995",1,13,12,3600
"2996",1,13,9,3500
"2997",0,2,12,2700
"2998",1,28,12,0
"2999",0,9,13,0
"3000",0,346,12,5811
"3001",0,16,13,0
"3002",0,17,12,0
"3003",0,0,14,452
"3004",1,1,16,1200
"3005",1,13,13,6000
"3006",1,13,12,14000
"3007",1,19,12,600
"3008",1,13,11,300
"3009",0,13,12,3120
"3010",1,28,13,800
"3011",0,39,10,5500
"3012",0,28,11,364
"3013",1,19,14,4000
"3014",1,13,13,0
"3015",0,9,8,0
"3016",0,15,14,4320
"3017",0,37,18,340
"3018",0,15,12,112
"3019",1,2,12,98
"3020",0,9,9,4963
"3021",0,39,12,1800
"3022",1,17,12,0
"3023",1,19,10,0
"3024",0,13,10,2262
"3025",1,17,10,320
"3026",0,17,12,655
"3027",0,1,8,0
"3028",1,0,10,3200
"3029",1,19,17,6000
"3030",1,0,12,6000
"3031",1,15,17,800
"3032",1,37,10,490
"3033",1,28,10,12000
"3034",0,13,13,5440
"3035",1,9,16,0
"3036",0,19,7,5400
"3037",0,1,8,600
"3038",0,13,12,368
"3039",0,13,10,4440
"3040",1,1,12,1500
"3041",0,15,15,5000
"3042",1,13,11,0
"3043",1,1,11,268
"3044",1,13,12,10000
"3045",1,15,16,6000
"3046",1,13,11,1600
"3047",1,13,13,4000
"3048",1,13,9,800
"3049",1,1,8,7259
"3050",1,28,12,0
"3051",0,2,10,1248
"3052",0,19,12,322
"3053",1,39,12,4160
"3054",0,13,14,10000
"3055",0,1,11,50
"3056",1,13,17,10000
"3057",1,9,12,0
"3058",0,28,12,0
"3059",0,28,12,0
"3060",1,40,12,5600
"3061",1,15,13,4000
"3062",1,13,12,1600
"3063",1,16,11,0
"3064",1,13,16,0
"3065",0,13,11,0
"3066",0,1,10,3600
"3067",0,5,12,8000
"3068",0,16,10,7200
"3069",0,16,13,2000
"3070",0,17,11,10636
"3071",0,13,10,6000
"3072",0,19,11,0
"3073",0,1,11,102
"3074",0,5,12,14000
"3075",1,1,12,476
"3076",0,0,13,0
"3077",0,19,8,0
"3078",0,9,17,0
"3079",0,13,10,2120
"3080",1,40,12,7000
"3081",0,1,11,600
"3082",1,19,11,4800
"3083",1,2,11,0
"3084",0,1,8,2400
"3085",0,19,8,0
"3086",1,39,10,2100
"3087",0,1,11,1280
"3088",1,39,9,2800
"3089",1,5,12,3000
"3090",0,13,12,6500
"3091",0,17,11,1900
"3092",1,9,13,4000
"3093",1,16,12,10000
"3094",0,17,12,7072
"3095",0,9,12,0
"3096",0,13,16,6200
"3097",0,9,11,0
"3098",0,13,10,0
"3099",1,19,14,4500
"3100",0,1,14,2500
"3101",1,15,12,14000
"3102",1,346,12,860
"3103",0,9,12,0
"3104",0,17,8,1900
"3105",1,28,12,0
"3106",1,5,10,0
"3107",0,0,10,0
"3108",0,17,12,0
"3109",0,13,9,300
"3110",1,16,16,3000
"3111",1,40,12,3720
"3112",0,9,10,300
"3113",0,15,11,5330
"3114",0,15,16,4500
"3115",0,2,12,0
"3116",0,16,13,85
"3117",0,9,13,2469
"3118",0,16,8,0
"3119",0,13,16,4000
"3120",0,15,11,400
"3121",1,19,17,0
"3122",0,37,16,9980
"3123",1,9,14,1300
"3124",1,9,9,2309
"3125",1,1,10,0
"3126",1,40,17,0
"3127",1,0,11,8500
"3128",1,39,11,8000
"3129",0,1,10,1042
"3130",0,39,12,2700
"3131",1,40,17,6000
"3132",1,39,12,7000
"3133",0,15,16,300
"3134",1,37,11,11500
"3135",0,13,11,6240
"3136",0,1,10,6866
"3137",1,13,14,2620
"3138",0,17,12,100
"3139",1,37,12,2500
"3140",0,346,9,0
"3141",0,17,12,335
"3142",0,19,12,0
"3143",1,39,10,2700
"3144",0,16,12,8464
"3145",0,9,12,0
"3146",1,17,12,7020
"3147",1,13,13,14000
"3148",1,19,7,6848
"3149",0,28,12,0
"3150",0,13,12,4600
"3151",0,16,11,575
"3152",1,1,8,98
"3153",0,19,9,990
"3154",0,17,10,1000
"3155",0,0,12,3440
"3156",0,9,10,4760
"3157",0,16,8,5000
"3158",1,28,12,9040
"3159",1,346,11,370
"3160",0,1,10,6500
"3161",1,1,8,98
"3162",0,1,10,0
"3163",1,9,8,0
"3164",1,19,11,0
"3165",0,19,12,0
"3166",1,2,11,16000
"3167",0,5,12,0
"3168",1,15,12,4000
"3169",1,16,13,12000
"3170",1,39,12,2400
"3171",0,19,12,0
"3172",0,19,16,5770
"3173",1,9,12,0
"3174",0,13,12,1300
"3175",0,37,12,0
"3176",0,13,12,1100
"3177",0,15,12,3360
"3178",0,19,14,0
"3179",1,28,11,5000
"3180",1,19,11,0
"3181",0,19,9,2100
"3182",1,0,10,6000
"3183",1,13,12,4000
"3184",1,19,14,0
"3185",1,9,9,0
"3186",1,13,10,200
"3187",0,17,9,0
"3188",1,17,12,3500
"3189",0,16,10,4500
"3190",1,2,10,5000
"3191",0,16,14,0
"3192",1,9,14,0
"3193",1,39,11,0
"3194",1,2,16,3800
"3195",0,0,14,0
"3196",1,2,11,1300
"3197",0,13,12,7600
"3198",1,16,16,15000
"3199",0,16,16,0
"3200",1,16,12,3200
"3201",0,9,10,0
"3202",0,39,12,1200
"3203",0,13,11,8000
"3204",1,9,12,0
"3205",0,15,12,3100
"3206",0,13,12,11000
"3207",0,28,12,0
"3208",1,19,9,2285
"3209",0,16,12,1500
"3210",1,1,9,10000
"3211",1,19,13,13984
"3212",0,1,11,300
"3213",0,13,12,2114
"3214",0,13,12,246
"3215",1,19,12,6000
"3216",0,13,12,0
"3217",0,16,12,8317
"3218",0,9,12,0
"3219",1,1,12,5000
"3220",0,37,10,5900
"3221",1,13,12,15000
"3222",0,19,14,4800
"3223",1,0,12,0
"3224",0,1,12,1398
"3225",1,40,8,196
"3226",1,37,12,4860
"3227",1,16,13,5000
"3228",1,16,12,15504
"3229",1,13,12,6000
"3230",0,9,9,0
"3231",0,15,10,900
"3232",0,37,11,0
"3233",1,13,9,0
"3234",1,19,8,0
"3235",0,17,14,2520
"3236",1,13,11,1000
"3237",0,13,12,1422
"3238",1,17,16,6380
"3239",1,13,15,3000
"3240",1,19,12,162
"3241",0,13,12,6084
"3242",0,37,12,1100
"3243",1,19,15,1352
"3244",1,39,12,2900
"3245",1,1,9,1000
"3246",1,39,17,3353
"3247",0,16,14,0
"3248",0,0,11,0
"3249",0,17,14,7475
"3250",1,39,12,4500
"3251",0,40,12,10000
"3252",0,1,12,0
"3253",0,39,13,4000
"3254",1,2,11,9000
"3255",0,13,13,9000
"3256",0,17,10,0
"3257",1,17,12,0
"3258",1,13,9,0
"3259",0,1,15,680
"3260",0,40,10,0
"3261",0,13,12,12000
"3262",1,39,11,9600
"3263",0,19,10,0
"3264",0,13,10,4400
"3265",0,1,9,0
"3266",0,17,8,1470
"3267",1,13,12,16000
"3268",1,28,8,8000
"3269",0,13,11,3740
"3270",1,15,10,8000
"3271",0,9,12,0
"3272",1,17,10,0
"3273",1,39,11,3000
"3274",0,13,12,0
"3275",1,17,9,0
"3276",0,39,11,2200
"3277",1,1,10,2400
"3278",1,2,12,700
"3279",1,13,12,0
"3280",0,13,12,5000
"3281",0,28,12,0
"3282",0,1,12,1236
"3283",0,13,8,0
"3284",0,9,17,3500
"3285",1,17,13,6303
"3286",0,19,15,5200
"3287",1,39,10,7488
"3288",1,17,11,0
"3289",1,17,14,0
"3290",0,5,13,7400
"3291",0,16,12,4500
"3292",0,16,8,0
"3293",0,16,12,2840
"3294",0,28,12,2000
"3295",0,39,14,5100
"3296",0,16,12,7800
"3297",0,1,12,10000
"3298",1,16,10,3200
"3299",1,13,13,3000
"3300",1,13,8,0
"3301",0,19,12,0
"3302",1,28,12,600
"3303",0,2,12,2500
"3304",0,17,12,1950
"3305",0,17,16,7000
"3306",1,37,13,0
"3307",0,19,10,10500
"3308",0,16,13,10000
"3309",1,13,10,4000
"3310",0,17,12,0
"3311",0,13,12,3000
"3312",1,2,13,800
"3313",1,39,11,700
"3314",0,15,12,200
"3315",1,15,11,2500
"3316",0,39,12,0
"3317",1,1,16,2400
"3318",0,2,15,0
"3319",1,5,12,910
"3320",0,17,12,0
"3321",1,19,8,520
"3322",1,37,12,6000
"3323",1,17,9,0
"3324",1,13,12,5000
"3325",0,17,11,0
"3326",1,13,12,75
"3327",1,39,12,348
"3328",0,1,12,8400
"3329",0,39,12,7116
"3330",1,15,12,1000
"3331",1,39,12,3096
"3332",1,17,12,8694
"3333",0,0,9,0
"3334",1,39,12,1175
"3335",0,16,12,1302
"3336",0,17,10,0
"3337",0,16,13,5004
"3338",0,37,12,0
"3339",1,2,9,0
"3340",1,15,12,172
"3341",1,0,15,2047
"3342",0,13,11,700
"3343",0,13,12,14000
"3344",1,13,11,200
"3345",1,16,12,6000
"3346",0,0,16,27000
"3347",1,39,15,6722
"3348",0,17,12,7000
"3349",0,17,9,1000
"3350",0,15,12,0
"3351",1,1,10,98
"3352",1,2,11,0
"3353",1,15,12,1800
"3354",0,13,12,600
"3355",0,16,13,7200
"3356",0,13,8,4500
"3357",0,1,8,0
"3358",0,13,14,7000
"3359",1,2,9,600
"3360",0,17,12,10000
"3361",1,19,10,690
"3362",1,0,12,0
"3363",0,16,10,2500
"3364",0,9,9,8000
"3365",1,1,12,4364
"3366",0,2,12,1958
"3367",0,28,12,0
"3368",0,17,12,6000
"3369",0,9,9,10379
"3370",0,37,12,0
"3371",1,19,11,13140
"3372",0,13,15,1000
"3373",1,0,12,0
"3374",0,39,12,1193
"3375",0,16,14,3204
"3376",0,0,12,2560
"3377",0,28,12,0
"3378",0,19,13,0
"3379",0,17,12,5000
"3380",1,13,12,3300
"3381",1,19,11,1404
"3382",1,17,11,3000
"3383",0,13,11,0
"3384",0,13,12,0
"3385",1,15,12,1800
"3386",1,9,10,7340
"3387",1,28,15,0
"3388",1,1,14,6283
"3389",0,19,8,3840
"3390",0,17,11,0
"3391",1,13,12,3200
"3392",0,13,12,8000
"3393",0,39,12,1700
"3394",1,19,12,16800
"3395",1,15,11,1800
"3396",1,17,11,7000
"3397",1,346,12,3700
"3398",0,19,12,400
"3399",1,15,13,200
"3400",1,39,9,1300
"3401",1,37,9,470
"3402",1,9,12,0
"3403",1,346,12,5000
"3404",0,15,15,1240
"3405",0,13,8,4000
"3406",1,13,9,10000
"3407",1,13,11,11000
"3408",1,28,10,25000
"3409",1,13,12,0
"3410",0,13,12,1500
"3411",0,16,10,0
"3412",0,39,10,8000
"3413",1,19,12,4000
"3414",0,17,12,0
"3415",0,13,14,3200
"3416",1,39,12,200
"3417",0,1,12,390
"3418",1,19,9,0
"3419",1,13,12,6000
"3420",1,15,13,5241
"3421",0,17,12,9000
"3422",1,2,13,5200
"3423",1,16,13,8000
"3424",1,2,10,2500
"3425",0,17,12,3840
"3426",1,39,13,6700
"3427",0,1,12,1100
"3428",0,13,8,0
"3429",1,1,15,2000
"3430",1,28,12,0
"3431",1,40,12,0
"3432",0,28,10,0
"3433",1,16,12,0
"3434",0,5,12,475
"3435",1,39,14,0
"3436",1,15,12,0
"3437",1,1,13,5632
"3438",1,39,12,0
"3439",0,9,13,0
"3440",0,19,9,0
"3441",0,346,14,0
"3442",0,19,11,0
"3443",1,5,8,0
"3444",0,346,12,9000
"3445",1,13,12,2500
"3446",1,13,12,10
"3447",1,9,12,1200
"3448",0,1,9,1500
"3449",0,19,13,11000
"3450",1,13,10,6800
"3451",0,13,12,6000
"3452",0,40,14,0
"3453",0,19,12,100
"3454",0,37,12,1000
"3455",0,13,12,2736
"3456",0,17,12,0
"3457",1,0,11,200
